House,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Distance_to_coast
House 12065,3.5313,34,1511,272,773,265,41605.78534
House 12066,4.8686,4,8207,1373,3887,1304,41071.91228
House 12067,5.4788,28,895,127,346,115,38702.77622
House 12068,5.2861,6,16431,2640,8222,2553,39649.85364
House 12069,4.125,6,202,29,75,28,38843.20735
House 12070,4.2386,6,502,76,228,65,39215.93701
House 12071,5.3006,9,6538,955,2928,892,38783.27622
House 12072,5.2898,25,6964,1066,3240,1036,41534.88365
House 12073,3.9414,18,8136,1584,4976,1516,42962.84035
House 12074,5.536,13,8010,1366,3920,1309,40384.60881
House 12075,4.2721,18,6450,1165,3716,1113,40780.98658
House 12076,5.195,23,2949,473,1671,477,39779.13099
House 12077,3.4419,15,7626,1570,3823,1415,40780.98658
House 12078,6.2308,2,17470,2727,5964,1985,39341.08147
House 12079,3.55,20,688,146,575,144,41729.74855
House 12080,4.46,22,2397,400,1347,403,40842.59302
House 12081,5.5362,7,2191,324,1156,310,40286.4242
House 12082,4.7965,5,5846,1035,3258,1001,33704.19426
House 12083,5.1365,14,3776,580,1877,559,39966.68293
House 12084,4.6875,15,2857,421,1361,382,54894.10584
House 12085,5.1512,2,12837,1842,4636,1453,58433.61034
House 12086,5.363,17,2678,394,1225,367,56999.42642
House 12087,5.1624,12,3964,524,1707,549,54365.88602
House 12088,5.0346,10,5600,848,2573,788,54894.10584
House 12089,3.1103,16,1171,235,659,216,60570.7515
House 12090,5.1045,14,2300,335,1001,311,56196.48471
House 12091,2.9542,15,3991,751,2317,657,56944.03819
House 12092,2.3229,16,3498,702,2372,672,58423.45062
House 12093,4.2273,13,4770,718,1985,662,44858.46012
House 12094,4.4875,8,1954,330,973,321,43590.53997
House 12095,5.4625,9,7538,1125,3450,1077,49919.43817
House 12096,2.7232,12,1159,209,523,159,59289.98663
House 12097,4.8125,15,826,138,440,134,56897.91875
House 12098,2.5379,33,6982,1371,5650,1195,61157.10805
House 12099,4.1883,15,6437,1298,2805,1205,62582.75918
House 12100,3.7585,19,3216,666,1363,629,63823.05036
House 12101,7.4141,20,4589,594,1660,595,60938.29315
House 12102,5.5563,13,7910,1195,3382,1176,60938.29315
House 12103,5.2713,7,11232,1791,4218,1644,62859.09358
House 12104,1.9531,52,1417,353,881,300,64862.44118
House 12105,1.625,8,152,19,1275,20,64026.55858
House 12106,3.175,27,321,64,214,67,65973.69189
House 12107,1.7579,10,17286,4952,9851,4616,64262.11349
House 12108,4.711,27,5464,850,2400,836,66306.57677
House 12109,3.4896,28,3420,691,1502,656,65265.46274
House 12110,4.6667,4,18767,3032,8805,2723,66532.68817
House 12111,2.725,23,3707,769,1938,658,66271.49055
House 12112,2.275,28,2683,708,2047,636,67715.05094
House 12113,4.4063,23,3021,527,1580,533,68002.79274
House 12114,4.7877,11,6617,1118,3710,1087,68309.4836
House 12115,3.5851,7,13195,2696,6763,2437,68268.67431
House 12116,4.2775,5,13096,2208,6780,2180,67625.83227
House 12117,5.253,5,9179,1361,4573,1294,69738.91525
House 12118,5.2174,5,8403,1240,3962,1150,70393.47495
House 12119,6.3223,5,4873,639,1947,568,74762.55682
House 12120,5.6409,3,18356,2537,8437,2342,71854.33741
House 12121,1.3125,10,972,212,773,219,64841.69651
House 12122,2.1574,35,3623,841,2721,766,63335.0271
House 12123,3.0907,13,8443,1744,4885,1470,64024.67885
House 12124,3.1042,2,337,55,115,49,64764.74961
House 12125,1.6111,15,1569,423,1123,369,67571.8778
House 12126,3.2705,12,7105,1447,4520,1333,66844.63029
House 12127,4.2654,8,10110,1761,5804,1703,66145.6762
House 12128,4.1482,7,9812,1914,5595,1729,65421.39057
House 12129,4.0473,9,11654,2100,7596,2127,66142.28102
House 12130,4.1953,5,11775,2031,6686,1911,64781.36313
House 12131,3.0789,8,2405,537,1594,517,68268.67431
House 12132,3.2148,14,5104,1026,3513,972,68258.65059
House 12133,4.0938,5,16884,2865,9509,2688,67557.26809
House 12134,5.0223,4,10002,1468,5439,1397,68973.38647
House 12135,4.7568,12,3236,502,1610,502,71959.82881
House 12136,4.0467,8,8302,1461,5155,1370,66188.25481
House 12137,3.5781,4,1611,239,275,84,72372.74867
House 12138,4.189,3,21060,3366,9623,2812,68413.26381
House 12139,2.625,16,56,7,39,14,64224.46592
House 12140,2.8194,8,1031,201,606,179,61442.60076
House 12141,4.6,7,77,12,64,15,65511.49847
House 12142,3.6618,14,1265,230,621,173,63372.24489
House 12143,4.0833,2,1424,251,681,192,61003.63442
House 12144,3.9052,2,4198,805,1943,673,62012.98667
House 12145,3.4237,4,9911,1946,5145,1661,60657.57726
House 12146,2.1848,16,8476,1758,2711,1427,51903.6047
House 12147,2.5335,8,5528,1073,1674,918,53317.64277
House 12148,1.9912,16,5373,1079,1573,933,53317.64277
House 12149,2.0881,24,4210,920,1283,829,52336.4893
House 12150,2.3276,23,6323,1196,1984,1124,51360.6663
House 12151,1.9014,24,5783,1256,1990,1151,51814.73554
House 12152,4.5881,3,6484,1037,3295,1074,50853.26964
House 12153,5.3238,8,26322,4072,9360,3361,46509.13066
House 12154,3.58,10,5156,941,2294,747,49289.63708
House 12155,3.8869,10,3659,650,1476,515,48090.51448
House 12156,3.125,12,1869,356,1007,323,46575.81431
House 12157,4.1386,2,7401,1187,2826,839,49027.12513
House 12158,2.375,11,939,187,557,190,55611.21274
House 12159,3.8036,14,2715,500,1540,464,68037.38811
House 12160,4.1875,13,1914,339,930,304,63243.76879
House 12161,4.065,6,1771,293,935,279,68484.63311
House 12162,1.3417,7,1697,424,808,354,60099.97465
House 12163,2.2618,17,4174,851,1845,780,60430.63161
House 12164,2.625,11,4934,929,2508,840,58989.20495
House 12165,2.5221,7,1810,386,931,355,54488.69414
House 12166,2.5847,17,2813,565,1345,488,65789.75028
House 12167,3.2778,13,4496,756,2044,695,64757.31937
House 12168,4.0717,3,5284,920,2703,729,60114.52772
House 12169,1.972,13,1974,426,1276,408,57870.13362
House 12170,2.7983,16,4928,960,2132,853,59881.23349
House 12171,2.1182,18,4799,1035,1966,944,59504.92331
House 12172,3.1319,2,6305,1265,2489,1152,53752.74894
House 12173,2.6322,10,2381,454,1323,477,56094.124
House 12174,2.2969,17,3318,759,2016,673,58771.6925
House 12175,1.9767,23,3465,703,2672,607,58194.24929
House 12176,2,5,2108,496,1666,461,57166.9092
House 12177,2.4662,15,4173,804,2393,713,56377.97691
House 12178,4.0982,11,3196,576,1757,552,52207.49366
House 12179,2.1549,22,4249,922,2405,846,57476.76472
House 12180,2.8401,9,6907,1379,3665,1290,56816.52618
House 12181,2.1484,19,3173,678,2204,606,50154.0027
House 12182,2.0878,16,2876,576,1859,545,54462.81312
House 12183,2.817,19,2248,427,1207,368,49985.94229
House 12184,2.1667,11,1161,235,640,210,50298.70195
House 12185,5.3275,5,6529,997,3464,1006,40568.50066
House 12186,3.2481,8,4345,865,2425,785,42713.69735
House 12187,3.1513,10,2591,486,1255,425,45699.698
House 12188,3.1832,9,981,169,596,156,44127.1228
House 12189,3.102,11,1229,236,581,190,43964.90361
House 12190,1.9194,27,4376,1003,2667,870,43548.57154
House 12191,4.2788,10,516,107,282,96,43553.07964
House 12192,3.375,9,13288,2728,7235,2350,40562.8689
House 12193,2.2423,17,10145,2306,4776,1749,40562.8689
House 12194,2.5395,23,6859,1535,3405,1351,39824.41468
House 12195,3.8056,7,16010,2726,7139,2426,40672.9829
House 12196,2.6949,15,4573,928,2513,832,44100.53223
House 12197,9.4356,8,446,62,188,68,28510.57115
House 12198,3.2258,10,4097,813,2082,731,35294.66349
House 12199,3.5125,10,1652,316,725,233,44277.41962
House 12200,3.235,12,1481,265,757,243,46147.46836
House 12201,3.6273,7,7722,1324,2975,1161,42347.48424
House 12202,4.5936,2,30450,5033,9419,3197,40205.96344
House 12203,4.7944,3,2744,428,1223,366,45126.54044
House 12204,4.3651,2,2569,431,1232,388,47559.07986
House 12205,3.9443,2,20391,3245,7132,2716,41779.02606
House 12206,3.7538,4,4952,1000,2912,943,39411.46627
House 12207,4.8083,5,3471,530,1541,502,46092.14443
House 12208,4.125,9,2802,471,1155,421,53307.3077
House 12209,4.3833,6,1868,289,750,247,45029.56548
House 12210,3.244,7,1972,352,964,317,53569.43253
House 12211,4.2917,8,1003,167,388,140,59311.75788
House 12212,6.9136,5,1585,247,510,181,30799.40431
House 12213,3.475,6,108,18,43,17,36646.6083
House 12214,6.993,13,270,42,120,42,35787.92085
House 12215,3.9963,4,21988,4055,8824,3252,38834.55201
House 12216,4.5841,4,30401,4957,13251,4339,40782.04244
House 12217,4.6904,4,9089,1413,3886,1243,34117.59038
House 12218,2.83,13,1614,410,846,270,47957.15854
House 12219,3.9617,6,13724,2269,5860,1986,37643.74673
House 12220,5.5351,4,6112,890,2088,712,33712.46813
House 12221,5.2066,4,966,133,311,92,27498.19664
House 12222,3.0043,6,8278,1579,3062,1446,62010.94773
House 12223,3.1591,19,6807,1164,2703,1055,69250.58568
House 12224,5.3623,15,2094,316,937,277,72111.37994
House 12225,4.4792,11,1183,178,543,147,64268.56838
House 12226,2.1071,15,652,149,248,97,65755.60898
House 12227,2.8125,18,397,89,239,80,62945.97401
House 12228,1.9961,13,16148,3474,6159,3232,65523.89152
House 12229,2.3712,14,2281,426,894,430,72180.37996
House 12230,2.0714,19,2238,573,1190,507,69675.81473
House 12231,1.7847,23,4676,1096,2770,1057,69675.81473
House 12232,2.964,14,6027,1148,3136,1036,70964.85895
House 12233,3.6806,15,3757,666,1693,654,70179.38896
House 12234,2.4554,20,2233,431,1024,399,68875.49295
House 12235,3.069,20,4735,973,2306,904,67433.90936
House 12236,3.2371,21,4587,810,2233,765,68083.92407
House 12237,2.7083,18,1996,405,1270,400,68875.49295
House 12238,4.6406,19,2901,445,1414,475,69524.31721
House 12239,3.7175,17,5160,851,2344,781,68740.29603
House 12240,4.0433,13,3603,573,1644,515,69402.84486
House 12241,2.5898,35,3269,757,2328,705,69040.93734
House 12242,1.942,31,2712,628,1519,629,67597.30476
House 12243,1.3039,22,3740,965,2011,824,68412.72906
House 12244,1.4366,18,9601,2401,4002,2106,67177.06625
House 12245,1.8446,25,4952,1062,1589,1024,66968.31226
House 12246,2.2161,20,3674,792,1498,758,67597.30476
House 12247,2.2115,19,3649,755,1717,696,68233.0944
House 12248,2.4145,14,7240,1410,2708,1240,71928.26095
House 12249,1.8015,15,2873,903,1094,659,65970.36732
House 12250,1.7079,10,6890,1702,3141,1451,70484.59123
House 12251,1.9707,12,5829,1309,2711,1118,69461.6474
House 12252,2.1722,12,7626,1704,2823,1554,68015.85403
House 12253,2.1103,8,5330,1529,2143,1107,65731.49717
House 12254,1.9476,14,3700,750,1171,695,63678.09342
House 12255,2.2925,7,10352,2007,3559,1689,68862.38008
House 12256,2.8393,20,1317,203,453,158,66240.15926
House 12257,2.683,15,2228,472,653,350,74645.94992
House 12258,2.3,10,6317,1335,2625,1094,70653.94851
House 12259,2.1979,8,10997,2205,5060,1949,72958.8228
House 12260,1.8845,20,2399,546,1726,542,72958.8228
House 12261,2.0135,21,2990,691,2108,660,72353.04161
House 12262,2.535,24,2680,606,1728,527,70907.3767
House 12263,1.7303,24,3409,804,1939,739,72126.36782
House 12264,2.0577,12,701,130,434,110,76728.2655
House 12265,2.5612,5,4116,761,1714,717,75725.84115
House 12266,1.5982,20,3111,623,1000,508,73542.56109
House 12267,2.0154,23,2719,538,930,485,73615.34105
House 12268,2.3169,13,10886,2127,4266,1955,72278.47283
House 12269,2.933,13,2604,443,978,417,74199.54653
House 12270,2.4167,25,3750,781,1594,785,86144.1421
House 12271,2.5357,33,1575,326,879,282,84666.49453
House 12272,3.5255,21,4624,852,2174,812,86144.1421
House 12273,4.7356,22,4227,658,1849,619,88976.47585
House 12274,2.3355,18,4775,886,1868,836,86130.61259
House 12275,3.1393,14,5320,974,1947,843,88993.40015
House 12276,2.4322,12,5876,1222,2992,1151,87066.33271
House 12277,2.7344,25,1254,312,715,301,79655.0962
House 12278,2.8783,5,1822,367,798,313,83741.78966
House 12279,3.125,6,78,11,27,10,77533.27105
House 12280,1.4063,22,1999,497,1304,479,85694.26807
House 12281,3.7083,26,503,69,293,59,82321.5096
House 12282,2.3977,11,658,131,376,120,93741.92092
House 12283,1.4688,16,319,68,212,67,99478.88192
House 12284,1.6875,19,2307,525,1266,437,94834.0914
House 12285,1.3286,17,2009,469,820,381,90695.54324
House 12286,3.0417,2,6900,1238,1950,980,82470.86867
House 12287,1.625,1,6,2,8,2,78978.90151
House 12288,2.7788,18,521,118,174,74,82661.99993
House 12289,3.4545,27,3459,640,1760,654,84693.00504
House 12290,1.9472,40,2277,498,1391,453,83755.63141
House 12291,3.0432,29,3197,632,1722,603,85190.07537
House 12292,1.424,29,2793,722,1583,626,84258.29037
House 12293,2.1581,33,376,83,267,88,83755.63141
House 12294,3.6339,30,3915,672,1820,643,92479.49723
House 12295,2.0549,13,7804,1594,3297,1469,86339.00792
House 12296,2.0976,29,4549,916,2494,912,88525.86639
House 12297,1.2188,37,1495,429,865,342,89088.25785
House 12298,2.2321,34,3183,738,1820,647,87969.62741
House 12299,5.5,18,553,100,215,82,93802.49509
House 12300,2.218,35,4448,906,2736,843,90532.32103
House 12301,1.4556,32,3141,812,2589,721,89656.68601
House 12302,2.7536,37,1858,361,1632,310,87921.44297
House 12303,2.6643,10,2653,621,1967,598,87644.15833
House 12304,3.3333,16,5277,1070,657,276,89169.0457
House 12305,3.4167,35,324,63,158,39,83502.12685
House 12306,3.0625,25,10665,2161,1874,852,86509.71742
House 12307,3.5882,21,3460,711,658,255,86341.6804
House 12308,2.9141,11,2385,661,682,242,76523.84707
House 12309,3.8281,3,830,145,272,104,66792.94214
House 12310,2.8071,14,1016,219,443,169,57402.35972
House 12311,3.038,12,1153,265,446,195,63286.11997
House 12312,2.355,13,3166,682,1250,475,75340.2259
House 12313,2.9167,8,1294,272,457,199,96361.27354
House 12314,6.2702,10,489,82,183,74,91634.81861
House 12315,3.0694,6,1251,268,544,216,65580.61692
House 12316,2.5625,26,186,48,102,39,95160.5742
House 12317,2.183,16,3730,827,1346,592,79649.19843
House 12318,1.9107,13,1187,255,442,179,73440.46708
House 12319,2.7219,15,11115,2257,4122,1653,115622.5681
House 12320,3.0208,12,549,109,209,90,100273.5291
House 12321,1.95,21,1284,306,537,233,110607.7676
House 12322,2.8056,35,321,71,157,61,106216.6422
House 12323,1.1917,29,551,166,224,107,109732.5276
House 12324,3.5208,20,260,67,69,50,114180.2917
House 12325,1.6849,17,5293,1266,1201,599,118446.8019
House 12326,1.7844,11,12557,3098,2453,1232,121436.0085
House 12327,3.3616,13,3921,754,1902,665,115406.565
House 12328,1.4665,16,4913,1395,2518,1132,115400.6246
House 12329,2.625,18,2990,648,1280,532,113270.6721
House 12330,1.6983,10,7249,1882,4274,1621,115412.991
House 12331,1.7388,12,3369,780,1315,584,113997.5769
House 12332,2.3382,11,1381,300,644,248,117547.6342
House 12333,3.2578,18,2233,471,919,388,116901.1936
House 12334,1.8,10,3254,913,923,486,116171.0229
House 12335,4.0417,5,4332,868,1420,567,117533.0282
House 12336,4.0729,16,980,193,454,185,107398.9129
House 12337,1.5227,22,1540,364,610,268,101913.1567
House 12338,3.6875,17,4465,859,853,445,106634.9491
House 12339,1.9167,16,3648,1035,1687,581,107058.9414
House 12340,3.3897,18,7962,1652,2009,921,102855.2039
House 12341,2.9647,16,10077,2186,3048,1337,106509.2382
House 12342,5.7613,28,2992,562,676,346,104358.8543
House 12343,2.5885,28,8399,1839,3470,1340,105873.5802
House 12344,3.4886,13,7559,1444,3189,1105,107266.0075
House 12345,2.1042,16,343,85,29,14,106945.2387
House 12346,2.9569,27,3316,636,2362,532,107723.12
House 12347,2.5212,21,10227,2315,3623,1734,105396.6911
House 12348,1.5595,12,9482,2501,2725,1300,103858.1221
House 12349,2.6083,36,1765,399,451,264,102963.7698
House 12350,3.6667,15,3004,615,437,210,107333.4517
House 12351,2.5399,26,5032,1229,3086,1183,106347.3388
House 12352,3.4394,12,12396,2552,2548,1265,104789.7735
House 12353,2.1176,31,6814,1714,2628,1341,103241.9787
House 12354,3.1493,24,6087,1217,1721,833,103241.9787
House 12355,3.7396,13,8789,1875,1274,688,106544.4834
House 12356,2.2216,22,6050,1387,1432,890,102634.1831
House 12357,3.1364,25,2616,547,581,343,97916.29672
House 12358,2.25,20,4810,1074,1304,740,99861.38219
House 12359,3.9737,18,9374,1780,1678,919,102034.8843
House 12360,2.5489,18,2547,463,411,214,102230.7431
House 12361,4.6855,5,4423,763,1906,667,108462.2634
House 12362,1.7204,5,5480,1371,1050,485,109705.8311
House 12363,2.6298,14,9425,2020,1711,1000,106761.0729
House 12364,4.3111,3,9169,1512,3838,1270,110479.6383
House 12365,3.9508,6,4863,920,3010,828,110070.5817
House 12366,2.4497,7,10105,2481,6274,2095,108701.087
House 12367,2.1411,10,6960,1487,1130,661,108354.0724
House 12368,3.5223,8,6710,1343,2069,781,111869.8449
House 12369,4.9444,12,7095,1260,1179,570,111564.2168
House 12370,6.1437,17,4293,712,1091,464,110215.8617
House 12371,3.0859,16,5228,992,1177,639,108602.534
House 12372,7.6281,14,16921,2837,2524,1262,109973.3919
House 12373,6.8729,8,3059,500,612,208,112649.7196
House 12374,3.6161,9,5534,1206,2283,1008,109713.2801
House 12375,3.3799,6,24121,4522,4176,2221,115919.115
House 12376,4.084,7,17579,3479,3581,1820,112273.9421
House 12377,4.036,5,19107,3923,2880,1376,116810.0119
House 12378,3.2846,19,12467,2508,4086,1761,116936.7554
House 12379,1.3801,25,1137,414,604,240,107798.7681
House 12380,2.5477,33,2565,745,2301,638,107798.7681
House 12381,4.4107,26,4300,767,1557,669,106446.1291
House 12382,3.3162,27,1781,441,759,340,106996.9922
House 12383,4.0079,10,11836,2405,3811,1570,111794.1775
House 12384,3.312,17,8626,1859,3497,1337,111842.3355
House 12385,3.5569,19,7646,1618,2496,1075,110386.4505
House 12386,4.5556,17,12509,2460,2737,1423,110430.4638
House 12387,6.9833,10,11659,2007,2186,1083,108346.4927
House 12388,3.0021,19,6190,1355,2242,1043,111842.3355
House 12389,2.2439,18,4872,1110,955,656,108869.8628
House 12390,3.7727,24,2596,438,473,237,108639.1467
House 12391,7.9885,5,846,249,117,67,107307.6475
House 12392,3.3639,25,2475,476,910,387,109783.6526
House 12393,2.4659,17,4289,893,958,440,109783.6526
House 12394,2.2208,15,3895,782,900,529,105463.5811
House 12395,7.8005,7,8806,1542,858,448,109829.9343
House 12396,7.4382,11,12327,2000,2450,1139,114788.7763
House 12397,5.6918,12,5048,842,883,391,114636.1631
House 12398,2.8882,10,2387,481,863,304,114481.7663
House 12399,2.9187,15,2214,410,1152,350,113093.4968
House 12400,3.3333,11,4686,851,2466,731,113093.4968
House 12401,3.6354,7,4497,831,2248,713,112478.6607
House 12402,4.5938,8,3079,558,1572,474,111871.4973
House 12403,3.1086,10,9404,1827,3208,1283,120047.3662
House 12404,2.7667,5,1664,444,907,374,118950.8667
House 12405,3.2833,9,3861,849,825,401,121883.8861
House 12406,3.8125,9,1961,595,966,275,124129.2229
House 12407,4.7195,6,12991,2555,4571,1926,119084.9681
House 12408,3.1771,5,3584,760,1097,470,117778.5478
House 12409,3.4583,24,880,187,507,169,126491.5183
House 12410,2.025,33,278,91,375,81,122728.5623
House 12411,3.775,25,5236,1039,2725,935,121571.8207
House 12412,2.7598,10,9033,2224,5525,1845,120949.5768
House 12413,3.0682,14,2774,566,1530,505,122201.0135
House 12414,3.3107,26,4120,858,2918,815,124354.6658
House 12415,3.0673,22,894,192,830,202,125747.755
House 12416,2.3169,28,2488,714,2891,676,123875.4866
House 12417,2.1217,38,1695,352,1279,305,123726.6084
House 12418,2.8648,29,1133,221,918,239,122962.6743
House 12419,1.7083,19,3114,787,3157,772,123123.9499
House 12420,1.7172,28,826,258,979,245,123105.3898
House 12421,2.2989,26,2399,625,2654,535,121871.5105
House 12422,1.7805,32,4981,1326,3779,1186,122337.4873
House 12423,2.444,17,4874,1349,5032,1243,121719.2466
House 12424,2.9286,22,197,54,331,70,120086.8864
House 12425,2.0871,20,1273,354,1548,355,114132.6367
House 12426,1.6557,10,1711,499,1896,443,114576.382
House 12427,2.5,23,1152,273,1077,235,114203.5053
House 12428,3.8846,19,1596,295,1201,282,117651.1077
House 12429,1.5809,34,584,176,625,166,119839.2846
House 12430,3.0114,16,926,189,238,118,118346.0932
House 12431,10.2948,3,7437,1222,574,302,115787.0684
House 12432,2.1287,13,1713,512,1978,442,102770.3096
House 12433,1.654,17,2421,820,2971,685,102086.694
House 12434,1.7344,24,2985,958,4042,905,99099.98305
House 12435,2.0347,20,1660,379,637,250,95391.46062
House 12436,2.2679,12,1230,277,1334,260,119109.1336
House 12437,2.5714,18,3585,800,3873,788,118141.1205
House 12438,1.9306,22,639,203,664,153,117041.4833
House 12439,1.7297,16,1859,476,1994,477,118428.8236
House 12440,2.2141,25,2888,654,2940,660,118281.3956
House 12441,2.375,17,89,19,79,21,120478.7557
House 12442,2.5383,11,5692,1346,5682,1273,120623.4647
House 12443,2.425,16,381,89,182,75,138278.2571
House 12444,1.625,18,1706,397,3424,283,95668.58013
House 12445,1.2656,17,97,24,29,15,134049.569
House 12446,3.1827,21,1161,282,724,186,136354.5753
House 12447,3.2097,15,644,129,137,52,124702.2406
House 12448,1.6154,17,2809,635,83,45,141206.6609
House 12449,2.9653,28,1678,322,666,256,98616.45669
House 12450,1.6395,20,1491,360,1135,303,86239.99392
House 12451,1.6509,17,720,174,333,117,109456.8615
House 12452,3.1917,14,1501,337,515,226,103822.2831
House 12453,1.925,20,1454,326,624,262,96120.83616
House 12454,2.0833,27,173,35,117,34,90628.40111
House 12455,2.1782,34,4789,1175,3134,1056,100270.2521
House 12456,2.1759,16,1187,261,1115,242,101160.0096
House 12457,2.6797,16,3741,801,2434,824,101262.5196
House 12458,3.3438,29,1387,236,671,239,102594.9506
House 12459,0.536,26,18,3,5,3,101065.9678
House 12460,2.6768,25,2907,680,1841,633,100390.9449
House 12461,1.625,21,1988,483,1182,437,99053.77719
House 12462,3.9167,35,5298,954,1933,918,57741.77775
House 12463,4.0972,38,2507,446,888,448,56680.858
House 12464,3.7731,38,1878,338,710,342,56949.70167
House 12465,3.9271,43,1806,339,764,341,57489.91108
House 12466,3.5893,46,2443,476,939,457,56680.858
House 12467,3.776,52,3080,545,975,495,56424.22013
House 12468,3.0208,42,2334,435,892,446,57489.91108
House 12469,3.4914,44,2314,415,796,388,57250.22668
House 12470,3.5313,48,1962,356,704,362,56179.95532
House 12471,3.8914,52,4408,807,1604,777,57022.87814
House 12472,1.7765,40,1394,397,689,353,57022.87814
House 12473,1.5922,44,2092,555,878,528,56808.01359
House 12474,2.3266,43,3807,952,1484,850,56808.01359
House 12475,2.6976,52,2035,483,904,459,56808.01359
House 12476,2.01,52,576,146,273,127,56605.77518
House 12477,1.6277,48,2434,744,1281,662,56605.77518
House 12478,1.4034,52,2151,664,1146,603,56416.29871
House 12479,1.6116,52,1186,341,1038,320,57689.66888
House 12480,1.0313,20,463,180,486,190,57503.78981
House 12481,1.4375,52,1000,324,456,250,56416.29871
House 12482,0.7526,5,761,306,2031,295,56239.71316
House 12483,2.5821,20,4018,1220,1570,1122,56239.71316
House 12484,3.358,9,745,175,297,160,55149.69042
House 12485,0.9196,52,569,405,509,367,56416.29871
House 12486,1.245,42,1823,566,761,503,56605.77518
House 12487,1.4301,47,2438,804,1148,747,55522.99101
House 12488,1.625,52,567,193,272,187,55522.99101
House 12489,1.7568,49,1334,492,634,421,55329.77983
House 12490,1.2209,38,2410,967,1091,829,55329.77983
House 12491,2.1691,39,1360,368,589,338,55729.18748
House 12492,1.9034,48,3136,926,1443,877,55729.18748
House 12493,1.8512,38,2809,805,1243,785,55522.99101
House 12494,3.0217,52,438,103,176,99,55729.18748
House 12495,1.2041,50,3233,968,1223,837,55729.18748
House 12496,1.5872,52,2501,757,1081,708,56605.77518
House 12497,3.2963,52,2006,412,825,384,56179.95532
House 12498,4.63,52,3170,476,1027,457,55111.33425
House 12499,2.9191,52,1750,372,764,369,54875.0593
House 12500,3.1583,52,810,172,326,151,55948.22565
House 12501,3.2386,52,893,159,367,160,55948.22565
House 12502,3.1484,52,1917,367,722,358,55948.22565
House 12503,2.0549,52,1625,419,614,383,55948.22565
House 12504,3.1827,41,1105,227,443,210,55621.93171
House 12505,3.7167,45,2423,466,873,438,55360.34876
House 12506,2.8542,52,906,165,257,166,55360.34876
House 12507,2.5417,50,1533,288,532,257,55621.93171
House 12508,3.0938,46,1316,244,452,245,55621.93171
House 12509,5.1169,52,3994,635,1295,625,56179.95532
House 12510,4.0417,52,3420,555,1301,530,55111.33425
House 12511,2.6417,35,182,39,115,43,54844.40805
House 12512,2.7333,44,3514,714,1509,656,54565.11492
House 12513,1.4889,19,3374,808,1412,753,54044.46136
House 12514,3.3348,52,1878,393,722,381,54875.0593
House 12515,2.625,51,1250,235,452,232,55111.33425
House 12516,2.9821,46,1698,383,726,386,54298.40393
House 12517,3.125,52,889,162,273,145,54651.68913
House 12518,2.2125,52,907,180,479,177,54875.0593
House 12519,1.7616,52,3126,648,1789,558,53803.46802
House 12520,1.2235,52,2094,463,1364,407,53803.46802
House 12521,1.1458,48,1091,403,926,336,53575.59865
House 12522,1.8911,52,1532,408,782,369,54651.68913
House 12523,2.0221,51,2083,559,874,524,54651.68913
House 12524,1.7328,44,1986,573,1044,490,54651.68913
House 12525,2.0089,44,1151,263,518,258,54441.38258
House 12526,2.7316,46,1476,344,688,353,54441.38258
House 12527,1.78,38,1145,324,596,288,55522.99101
House 12528,1.2813,42,900,239,506,231,54244.29162
House 12529,1.9013,35,1521,457,987,455,54244.29162
House 12530,1.7155,51,1492,385,736,365,55329.77983
House 12531,1.4712,41,1124,344,807,316,55149.69042
House 12532,2.1719,44,1375,351,766,321,55149.69042
House 12533,2.2031,36,613,166,425,147,54982.8517
House 12534,1.0114,45,858,254,510,200,55149.69042
House 12535,1.128,46,2646,645,1684,616,54060.56077
House 12536,1.0649,43,1048,312,1320,294,53890.32669
House 12537,2.8417,45,3032,631,1341,597,52798.61267
House 12538,2.7885,46,1485,278,531,291,52798.61267
House 12539,3.0033,52,1844,392,667,353,54244.29162
House 12540,3.3844,52,2515,460,836,442,53159.89719
House 12541,5.6402,52,2784,455,957,448,52972.37929
House 12542,3.6729,52,1777,368,624,350,54244.29162
House 12543,2.5639,47,2313,536,779,442,52076.66487
House 12544,8.338,52,1145,133,334,138,51885.20565
House 12545,5.0359,51,4280,632,1486,621,53159.89719
House 12546,5.2362,49,4094,634,1363,659,52972.37929
House 12547,3.7344,44,1167,201,452,209,51885.20565
House 12548,7.1035,52,2508,360,832,345,53361.02139
House 12549,4.3929,52,2037,358,811,375,53361.02139
House 12550,2.0833,50,1587,448,877,380,54441.38258
House 12551,4.1467,52,1684,309,675,296,53361.02139
House 12552,4.8603,52,2216,333,714,327,53361.02139
House 12553,2.8542,52,814,216,327,181,54441.38258
House 12554,0.9948,48,968,310,706,274,53575.59865
House 12555,1.0208,29,1303,308,861,263,53575.59865
House 12556,1.2679,47,2085,464,1346,402,52501.00262
House 12557,1.186,24,979,287,546,291,53575.59865
House 12558,2.0242,52,1384,295,561,244,53575.59865
House 12559,2.7787,47,1159,250,810,244,52979.44226
House 12560,1.4702,41,1278,308,839,280,52979.44226
House 12561,1.8333,48,1001,205,605,175,52733.54783
House 12562,2.0074,40,2077,435,1454,385,53803.46802
House 12563,3.0521,29,1407,265,556,235,53795.34055
House 12564,2.9769,43,2084,417,912,410,53510.53262
House 12565,3.15,44,1879,359,791,345,53510.53262
House 12566,2.5694,44,2570,509,1145,503,53238.50092
House 12567,1.9485,48,3421,734,1441,727,52979.44226
